5	8	15	18	13	2	61	2582
5	8	5	14	13	8	53	2093
10	8	15	21	16	2	72	3926
1	8	15	21	24	15	84	6421
1	8	12	18	17	8	64	3682
10	8	12	19	25	15	89	3297
5	10	15	25	3	8	66	8049
5	7	15	17	15	2	61	4540
6	6	7	14	23	15	71	3839
6	8	5	18	23	15	75	1850
6	6	15	12	12	8	59	6750
6	8	10	17	17	15	73	2381
6	8	10	19	16	15	74	6897
6	2	7	20	22	8	65	8355
7	8	20	24	20	15	94	2156
10	8	10	24	22	4	78	8818
2	8	7	25	25	2	69	7010
4	4	15	18	13	8	62	3532
1	6	7	25	12	8	59	1029
2	4	5	2	15	15	43	6980
5	4	10	20	8	8	55	6264
6	6	7	9	0	8	36	8117
6	2	12	23	22	8	73	4895
2	8	10	23	25	8	76	3811
3	4	2	7	2	5	23	6745
6	4	2	21	18	4	55	7452
10	7	15	24	25	15	96	5577
5	8	10	19	25	0	67	2237
6	4	12	9	5	0	36	2084
7	4	10	19	20	0	60	1280
3	6	3	4	2	10	28	3021
3	6	7	21	5	15	57	3240
5	8	11	25	21	15	85	5536
5	6	5	23	25	8	72	9912
5	8	7	14	23	15	72	8664
7	8	20	24	20	15	94	3289
7	6	20	25	19	15	92	3983
7	10	10	14	24	15	80	9899
5	4	12	19	20	8	68	8638
4	7	20	25	23	15	94	7184
4	8	10	18	12	2	54	8104
5	4	5	20	24	2	60	6970
9	8	12	22	25	15	91	5275
10	8	15	16	24	8	81	2782
6	10	15	19	25	8	83	1373
10	8	15	25	25	8	91	3486
10	6	15	20	23	15	89	4230
9	8	15	24	6	8	70	8392
5	2	7	12	9	4	39	3528
9	6	7	15	25	8	70	7723
3	10	7	16	20	4	60	8965
9	8	10	17	25	8	77	1075
1	4	10	6	0	0	21	3466
5	5	8	22	24	15	79	5805
6	8	10	24	25	15	88	5961
4	10	12	25	24	15	90	8886
3	7	15	22	25	15	87	7126
4	6	10	16	5	8	49	6501
4	6	7	15	7	8	47	3781
4	4	7	21	5	6	47	9470
6	10	10	22	20	8	76	6812
1	8	5	20	24	7	65	2706
7	8	10	25	23	8	81	5012
2	6	7	16	9	0	40	9374
9	4	7	18	24	8	70	4555
7	4	7	4	13	15	50	4112
4	2	10	25	17	5	63	4380
8	4	7	14	2	2	37	2235
0	8	12	25	17	15	77	1737
10	8	10	25	25	15	93	8089
9	8	10	22	23	15	87	8183
8	8	15	25	25	15	96	4598
2	6	5	6	15	15	49	3621
4	4	10	9	13	0	40	3263
9	6	15	21	25	10	86	6971
5	5	2	4	13	14	43	8372
9	8	10	19	25	15	86	7998
5	6	10	16	19	15	71	4929
6	6	5	20	25	4	66	7010
10	10	15	25	25	15	100	8972
6	6	12	22	23	8	77	2531
4	4	15	23	22	15	83	3884
3	2	7	4	23	15	54	3411
4	8	15	23	20	15	85	1529
9	8	10	22	13	8	70	8268
7	5	12	20	12	4	60	8419
8	6	12	18	25	15	84	7883
6	8	10	17	23	15	79	7799
7	5	13	5	25	15	70	8318
7	6	10	13	4	6	46	8180
4	8	15	21	25	8	81	6261
7	7	12	11	21	15	73	9539
6	4	12	9	17	8	56	6750
0	4	2	7	0	2	15	8721
7	6	10	22	25	15	85	5738
6	8	15	25	15	15	84	9170
6	6	2	23	23	8	68	2944
5	7	18	22	25	15	92	5867
7	6	12	25	25	8	83	4087
5	8	10	18	22	8	71	1194
9	6	15	20	23	15	88	9034
4	6	10	13	2	8	43	6516
10	8	15	25	25	15	98	5416
4	10	12	19	14	8	67	4457
9	10	12	18	25	13	87	1575
6	10	10	25	14	8	73	2393
6	6	7	23	13	6	61	5134
5	10	15	25	22	2	79	9121
2	5	8	5	15	15	50	5159
6	8	7	19	7	8	55	1898
9	10	12	19	20	2	72	2154
10	7	10	24	25	8	84	9572
4	9	10	17	0	0	40	9940
3	8	7	24	18	8	68	6030
5	8	12	20	15	0	60	1995
7	6	15	15	25	8	76	3466
4	6	10	19	24	8	71	5656
9	4	5	25	25	2	70	7476
7	8	10	23	23	15	86	5686
7	8	5	20	0	2	42	5573
10	4	15	15	21	8	73	3154
7	6	10	25	23	15	86	1814
9	10	12	13	24	8	76	8525
1	8	15	18	21	8	71	5338
6	10	10	23	24	15	88	9280
10	6	15	16	25	8	80	5753
7	6	15	20	23	8	79	5124
3	5	7	8	3	2	28	4472
7	8	18	25	17	15	90	9107
6	8	5	20	15	8	62	1675
6	8	15	21	17	8	75	4687
6	4	7	7	12	2	38	2283
5	6	7	23	24	2	67	7259
9	6	7	20	11	0	53	6924
7	8	20	4	21	15	75	9843
10	10	10	16	25	15	86	3217
4	4	2	13	0	2	25	5059
5	4	12	3	0	8	32	9346
6	6	5	25	25	15	82	6229
6	4	7	10	20	0	47	8570
6	10	15	24	25	15	95	4023
3	8	15	25	25	15	91	2012
8	10	7	22	13	6	66	9038
9	6	5	19	24	2	65	6041
6	8	15	17	25	15	86	4409
4	6	5	21	18	8	62	5868
7	10	5	16	20	15	73	1304
5	6	7	19	23	15	75	8742
3	8	12	20	25	15	83	7253
5	6	20	17	21	15	84	7766
5	4	15	14	4	8	50	6905
3	6	8	8	6	7	38	3290
5	6	10	13	7	4	45	6509
8	10	10	23	25	15	91	1281
9	8	10	20	25	15	87	9868
10	10	15	23	25	15	98	8577
7	6	10	23	25	2	73	1467
9	8	15	22	25	15	94	7349
9	6	10	25	23	8	81	2091
5	7	7	20	13	8	60	6175
4	4	15	25	25	8	81	7892
10	5	7	18	25	15	80	3083
6	8	5	3	7	8	37	8911
6	8	15	18	10	8	65	6132
10	10	10	22	21	15	88	8684
9	8	7	16	25	5	70	6440
0	7	0	0	0	5	12	7515
4	10	10	20	14	15	73	3352
0	5	7	4	17	7	40	3926
10	8	15	12	25	15	85	9316
8	6	5	9	7	4	39	2714
6	6	10	20	7	15	64	1539
2	7	7	19	22	15	72	9962
7	8	10	21	23	8	77	7653
5	2	10	17	21	8	63	9365
5	5	15	25	25	15	90	6126
6	4	10	20	24	0	64	1094
2	7	15	18	15	15	72	9336
1	4	5	18	7	8	43	9462
6	4	10	25	25	8	78	3900
10	6	7	15	15	15	68	1419
9	8	10	25	25	15	92	5688
5	4	10	19	23	4	65	8308
7	5	11	25	24	15	87	6518
9	6	5	23	25	8	76	9817
9	4	12	19	22	6	72	7285
10	8	5	13	5	15	56	9104
3	4	12	8	22	15	64	1108
4	8	12	20	2	8	54	8346
7	6	7	13	22	15	70	8128
4	10	12	19	20	8	73	1491
5	6	10	22	17	8	68	7271
5	6	5	20	25	15	76	4600
8	10	12	24	21	6	81	2302
9	8	12	22	22	0	73	7059
6	8	12	18	0	8	52	8009
8	6	10	11	21	2	58	9865
3	8	7	25	19	8	70	7509
5	8	5	21	11	2	52	8845
5	4	15	19	23	8	74	9557
7	8	12	22	23	15	87	8069
6	4	10	23	14	6	63	1118
4	5	6	0	8	15	38	5568
6	6	12	25	13	4	66	7816
1	10	15	11	22	8	67	5146
4	10	12	19	15	4	64	1552
10	8	10	18	24	15	85	5338
6	8	10	8	25	8	65	5081
10	8	12	15	23	15	83	4291
9	10	12	20	25	8	84	8840
6	6	7	12	12	2	45	1141
9	10	10	25	25	15	94	6387
6	8	15	23	19	8	79	2661
5	8	12	20	2	8	55	5233
8	5	7	15	5	15	55	9684
10	8	15	25	23	8	89	9636
4	8	12	17	5	8	54	5455
6	8	15	24	25	15	93	8754
6	8	7	6	3	2	32	3910
1	7	12	19	13	15	67	3117
6	6	10	21	22	15	80	4202
10	8	12	19	25	15	89	9816
9	6	15	24	25	2	81	9051
8	6	10	24	23	4	75	6980
5	6	15	8	12	8	54	1905
10	8	15	24	24	8	89	9292
1	8	10	13	22	15	69	9050
5	4	17	5	13	5	49	1907
9	8	10	25	24	15	91	5554
4	2	5	22	5	8	46	3532
8	8	12	23	22	15	88	1306
10	8	12	23	23	8	84	3389
7	4	2	14	5	8	40	9049
6	10	10	24	25	15	90	5668
10	6	15	22	24	15	92	9396
10	6	12	18	24	15	85	2376
5	6	15	25	21	8	80	7042
0	7	20	18	23	15	83	8256
10	10	12	17	25	15	89	2520
3	8	10	5	13	15	54	2539
4	3	12	24	19	8	70	4609
10	8	15	25	25	15	98	8808
5	8	7	20	21	4	65	9565
8	8	15	25	25	15	96	7018
6	6	15	23	9	15	74	5993
5	8	10	12	0	8	43	5950
6	8	7	20	18	8	67	7918
7	7	7	4	0	15	40	9881
5	6	10	4	6	15	46	3655
5	10	12	23	10	15	75	1605
7	6	15	21	19	10	78	2594
8	10	7	22	25	8	80	6245
1	6	2	14	14	8	45	6183
3	2	15	11	23	15	69	1209
8	10	7	13	23	15	76	5930
10	8	15	25	25	2	85	2902
2	5	5	20	6	15	53	8364
9	10	12	25	25	9	90	5174
4	6	12	22	15	2	61	9746
7	8	15	16	20	15	81	4764
2	6	12	16	17	15	68	2475
5	8	7	18	9	0	47	3121
7	4	10	14	22	8	65	6098
6	8	10	20	23	12	79	5922
7	6	15	14	15	2	59	9848
5	5	14	5	23	15	67	7348
7	8	15	25	22	9	86	1238
8	4	5	11	5	4	37	4457
3	4	0	0	0	5	12	8981
10	6	15	23	16	15	85	1408
7	8	7	22	24	8	76	9795
8	6	2	11	5	4	36	1229
10	8	15	25	24	8	90	8941
10	6	0	20	0	8	44	8345
9	8	2	21	12	15	67	7838
5	8	10	18	5	0	46	5695
6	4	15	10	8	8	51	2145
7	8	10	21	12	15	73	9197
8	7	12	18	21	15	81	7845
10	10	15	25	25	15	100	7906
